id;cnpj_base;cnpj_ordem;cnpj_dv;situacao_data;atividade_inicio;cnae_principal;cep;uf;municipio;cnae_descricao;natureza;capital_social;porte_empresa;natureza_descricao;matchmaking
318770008RS;96031877;0008;95;2005-11-01;1981-07-01;8888888;97573680;RS;8845;Atividade Econônica não informada;2143;0.0;demais;Cooperativa;2
033020018RS;96203302;0018;84;2005-11-01;1975-08-01;4622200;98860000;RS;8413;Comércio atacadista de soja;2143;0.0;demais;Cooperativa;3
253460005RS;97225346;0005;53;2005-11-01;1981-05-01;4711302;97340000;RS;8895;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;2143;0.0;demais;Cooperativa;3
253460021RS;97225346;0021;73;2005-11-01;1998-04-01;4789099;97385000;RS;5795;Comércio varejista de outros produtos não especificados anteriormente;2143;0.0;demais;Cooperativa;3
704410004RS;97270441;0004;98;2005-11-01;1994-08-01;4634601;95890000;RS;9821;Comércio atacadista de carnes bovinas e suínas e derivados;2143;0.0;demais;Cooperativa;2
204510003RS;97320451;0003;00;2005-11-01;1972-06-01;4789099;99680000;RS;8613;Comércio varejista de outros produtos não especificados anteriormente;2143;0.0;demais;Cooperativa;2
204510041RS;97320451;0041;35;2005-11-01;1994-12-01;4622200;99698000;RS;5947;Comércio atacadista de soja;2143;0.0;demais;Cooperativa;2
064550008RS;97506455;0008;91;2005-10-01;1976-12-01;4631100;99300000;RS;8919;Comércio atacadista de leite e laticínios;2143;0.0;demais;Cooperativa;3
064550010RS;97506455;0010;06;2005-10-01;1978-10-01;4622200;99315000;RS;5933;Comércio atacadista de soja;2143;0.0;demais;Cooperativa;3
064550019RS;97506455;0019;44;2005-10-01;1984-07-01;4711302;99360000;RS;8539;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;2143;0.0;demais;Cooperativa;3
064550033RS;97506455;0033;00;2005-10-01;1988-09-01;1066000;99300000;RS;8919;Fabricação de alimentos para animais;2143;0.0;demais;Cooperativa;3
637280002RS;97663728;0002;16;2005-11-01;1969-09-01;4623199;99450000;RS;8907;Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente;2143;0.0;demais;Cooperativa;3
637280041RS;97663728;0041;22;2005-11-01;1990-12-01;1066000;99490000;RS;8923;Fabricação de alimentos para animais;2143;0.0;demais;Cooperativa;3
399220012RS;97839922;0012;81;2001-05-01;1989-08-01;4742300;95860000;RS;8929;Comércio varejista de material elétrico;2143;0.0;demais;Cooperativa;3
399220002RS;97839922;0002;00;2001-05-01;1982-09-01;3514000;95833000;RS;1026;Distribuição de energia elétrica;2143;0.0;demais;Cooperativa;3
421200072RS;98042120;0072;40;2005-11-01;2002-01-01;4623199;98270000;RS;8789;Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente;2143;0.0;demais;Cooperativa;3
380720028RS;98338072;0028;68;2005-11-01;2000-04-01;4711302;98940000;RS;8949;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;2143;0.0;demais;Cooperativa;3
047000002RS;98404700;0002;27;2001-02-01;1965-12-01;1312000;97502436;RS;8951;Preparação e fiação de fibras têxteis naturais, exceto algodão;2143;0.0;demais;Cooperativa;2
338610001MG;42933861;0001;72;2005-11-01;1992-09-01;8513900;36576050;MG;5427;Ensino fundamental;2143;0.0;demais;Cooperativa;2
075580001SP;43007558;0001;01;2005-09-01;1969-11-01;0161099;17800000;SP;6101;Atividades de apoio à agricultura não especificadas anteriormente;2143;0.0;demais;Cooperativa;3
492250001PE;24449225;0001;98;2005-11-01;1990-01-01;6550200;55024740;PE;2381;Planos de saúde;2143;50000.0;demais;Cooperativa;2
693640001SP;62069364;0001;85;2005-11-01;1989-12-01;8888888;14460000;SP;6365;Atividade Econônica não informada;2143;0.0;demais;Cooperativa;2
572570001SP;43957257;0001;49;2002-09-01;1970-11-01;8541400;14810170;SP;6163;Educação profissional de nível técnico;2143;0.0;demais;Cooperativa;2
577870001GO;25057787;0001;59;2005-11-01;1989-03-01;8520100;75400000;GO;9395;Ensino médio;2143;0.0;demais;Cooperativa;2
539750001SC;80653975;0001;58;2005-05-01;1988-04-01;6550200;89900000;SC;8339;Planos de saúde;2143;0.0;demais;Cooperativa;2
760690001PR;81076069;0001;09;2004-08-01;1988-11-01;6550200;87701020;PR;7749;Planos de saúde;2143;0.0;demais;Cooperativa;2
693020001PR;81169302;0001;90;2001-07-01;1989-02-01;4930202;85908220;PR;7927;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;2143;0.0;demais;Cooperativa;2
834750001MG;25683475;0001;50;2005-11-01;1989-03-01;6424703;38061150;MG;5401;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;2
678800001SC;81367880;0001;30;2005-09-01;1989-06-01;6424703;88930000;SC;8369;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;3
104490001MG;25910449;0001;18;2005-11-01;1989-07-01;6550200;38182264;MG;4079;Planos de saúde;2143;0.0;demais;Cooperativa;2
249510001SC;81524951;0001;61;2002-09-01;1989-08-01;9430800;89041000;SC;8047;Atividades de associações de defesa de direitos sociais;2143;0.0;demais;Cooperativa;2
697420001MG;25969742;0001;50;2020-01-01;1989-08-01;4711302;35420000;MG;4799;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;2143;0.0;demais;Cooperativa;2
688580001BA;63268858;0001;51;2019-03-01;1992-04-01;8520100;45604400;BA;3597;Ensino médio;2143;0.0;demais;Cooperativa;2
141750001MG;26014175;0001;41;2001-02-01;1989-08-01;6424703;36160000;MG;4567;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;2
878410001SP;45887841;0001;09;2003-10-01;1966-08-01;1051100;12630000;SP;6273;Preparação do leite;2143;0.0;demais;Cooperativa;2
246710001DF;26424671;0001;73;2004-03-01;1990-05-01;9430800;70301000;DF;9701;Atividades de associações de defesa de direitos sociais;2143;0.0;demais;Cooperativa;2
394760001PR;82239476;0001;44;2003-10-01;1990-07-01;6550200;86010580;PR;7667;Planos de saúde;2143;0.0;demais;Cooperativa;3
312870001GO;26931287;0001;67;2005-11-01;1991-03-01;8520100;76330000;GO;9431;Ensino médio;2143;0.0;demais;Cooperativa;2
868580001PR;82686858;0001;16;2004-10-01;1991-08-01;8660700;82410650;PR;7535;Atividades de apoio à gestão de saúde;2143;50000.0;demais;Cooperativa;2
378180002MS;33737818;0002;21;2005-11-01;2005-11-01;6424702;79004423;MS;9051;Cooperativas centrais de crédito;2143;0.0;demais;Cooperativa;3
533610001ES;27553361;0001;11;2005-09-01;1979-12-01;8299799;29520000;ES;5603;Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente;2143;0.0;demais;Cooperativa;3
743930001SP;47774393;0001;54;2001-08-01;1976-08-01;8650099;11060003;SP;7071;Atividades de profissionais da área de saúde não especificadas anteriormente;2143;0.0;demais;Cooperativa;2
831090001PA;83383109;0001;82;2005-11-01;1993-05-01;9430800;68165000;PA;0597;Atividades de associações de defesa de direitos sociais;2143;0.0;demais;Cooperativa;2
691410001PA;83769141;0001;09;2020-03-01;1994-05-01;7490199;68580000;PA;0473;Outras atividades profissionais, científicas e técnicas não especificadas anteriormente;2143;1500000.0;demais;Cooperativa;2
361140001PA;83836114;0001;01;2005-11-01;1994-06-01;6424703;66050160;PA;0427;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;2
615620001SP;48361562;0001;97;2005-11-01;1977-11-01;3511501;19700000;SP;6811;Geração de energia elétrica;2143;0.0;demais;Cooperativa;2
104410037SC;83310441;0037;28;;2005-07-01;4634601;89260300;SC;8175;Comércio atacadista de carnes bovinas e suínas e derivados;2143;0.0;demais;Cooperativa;3
175160001SP;48717516;0001;88;2005-11-01;1982-02-01;6550200;12604080;SP;6645;Planos de saúde;2143;0.0;demais;Cooperativa;3
606580001SP;65560658;0001;01;2001-02-01;1991-02-01;6424703;01310000;SP;7107;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;2
339410001SP;48833941;0001;32;2005-11-01;1977-11-01;4930201;13501570;SP;6979;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.;2143;0.0;demais;Cooperativa;2
423970001PE;10542397;0001;05;2005-11-01;1966-09-01;0111302;55800000;PE;2489;Cultivo de milho;2143;25000.0;demais;Cooperativa;2
305310001RJ;28630531;0001;87;2005-11-01;1972-03-01;6550200;24020320;RJ;5865;Planos de saúde;2143;0.0;demais;Cooperativa;2
809530005SP;50480953;0005;04;;2005-07-01;8630502;13490000;SP;6349;Atividade médica ambulatorial com recursos para realização de exames complementares;2143;0.0;demais;Cooperativa;2
125010001AL;10812501;0001;26;2005-09-01;1986-05-01;9412099;57025030;AL;2785;Outras atividades associativas profissionais;2143;224425.08;demais;Cooperativa;2
358760001RJ;29235876;0001;07;2001-09-01;1967-04-01;1051100;28500000;RJ;5821;Preparação do leite;2143;0.0;demais;Cooperativa;2
545020001SP;49654502;0001;25;2001-12-01;1978-03-01;6424704;15800050;SP;6323;Cooperativas de crédito rural;2143;0.0;demais;Cooperativa;2
974060001RJ;29697406;0001;57;2020-07-01;1971-10-01;0311601;27913130;RJ;5847;Pesca de peixes em água salgada;2143;25000.0;demais;Cooperativa;2
856900001RS;86685690;0001;85;2005-11-01;1994-02-01;1099605;99900000;RS;8677;Fabricação de produtos para infusão (chá, mate, etc.);2143;0.0;demais;Cooperativa;3
244140001RS;87324414;0001;54;2004-10-01;1981-01-01;9411100;90027900;RS;8801;Atividades de organizações associativas patronais e empresariais;2143;0.0;demais;Cooperativa;2
011090001SP;67401109;0001;01;2003-10-01;1991-12-01;4683400;15801120;SP;6323;Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo;2143;0.0;demais;Cooperativa;2
995720001RS;87399572;0001;73;2005-06-01;1981-03-01;9412099;99010041;RS;8785;Outras atividades associativas profissionais;2143;0.0;demais;Cooperativa;3
480790001RS;87548079;0001;78;2005-11-01;1966-08-01;4729699;95700010;RS;8541;Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente;2143;0.0;demais;Cooperativa;3
580230001SP;67558023;0001;97;2004-08-01;1992-02-01;4930202;17400000;SP;6435;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;2143;0.0;demais;Cooperativa;2
004110001RS;87900411;0001;11;2003-10-01;1981-12-01;6424703;99400000;RS;8647;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;3
213570001RJ;30921357;0001;73;2000-07-01;1980-07-01;4923001;21381410;RJ;6001;Serviço de táxi;2143;0.0;demais;Cooperativa;2
011400001SP;67901140;0001;01;2005-07-01;1992-04-01;4930203;08685040;SP;7151;Transporte rodoviário de produtos perigosos;2143;0.0;demais;Cooperativa;2
533150001SP;67953315;0001;24;2004-08-01;1992-05-01;8690999;13360000;SP;6309;Outras atividades de atenção à saúde humana não especificadas anteriormente;2143;0.0;demais;Cooperativa;2
733200001SP;51473320;0001;08;2005-11-01;1966-10-01;4711302;13480083;SP;6639;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;2143;0.0;demais;Cooperativa;2
428780001BA;13342878;0001;57;2005-11-01;1984-03-01;8630502;44001448;BA;3515;Atividade médica ambulatorial com recursos para realização de exames complementares;2143;2000000.0;demais;Cooperativa;2
140450001RS;88614045;0001;05;2005-11-01;1966-08-01;1112700;95032475;RS;8599;Fabricação de vinho;2143;0.0;demais;Cooperativa;2
521300001RS;88952130;0001;75;2005-11-01;1976-07-01;6424703;96745000;RS;8693;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;3
031700001RS;68803170;0001;48;2005-11-01;1993-03-01;8888888;95800000;RS;8955;Atividade Econônica não informada;2143;0.0;demais;Cooperativa;2
121580001PI;69612158;0001;19;2005-02-01;1993-04-01;8690999;64600082;PI;1159;Outras atividades de atenção à saúde humana não especificadas anteriormente;2143;0.0;demais;Cooperativa;2
378090001SE;32837809;0001;69;2005-11-01;1991-12-01;6550200;49055210;SE;3105;Planos de saúde;2143;0.0;demais;Cooperativa;2
061080001SP;53206108;0001;00;2005-11-01;1984-07-01;6550200;15010110;SP;7097;Planos de saúde;2143;0.0;demais;Cooperativa;2
222620001PB;70122262;0001;04;2004-12-01;1994-08-01;8690999;58200000;PB;2027;Outras atividades de atenção à saúde humana não especificadas anteriormente;2143;0.0;demais;Cooperativa;2
542710001BA;15154271;0001;79;2006-03-01;1957-12-01;4712100;40020280;BA;3849;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;2143;0.0;demais;Cooperativa;2
344020001MT;70434402;0001;80;2004-08-01;1993-08-01;9430800;78020000;MT;9067;Atividades de associações de defesa de direitos sociais;2143;11289.36;demais;Cooperativa;2
092370001MG;71009237;0001;81;2005-09-01;1993-05-01;6424703;37177000;MG;4561;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;2
632230072MS;77863223;0072;09;2005-11-01;2002-07-01;4632001;79841000;MS;9073;Comércio atacadista de cereais e leguminosas beneficiados;2143;287997008.16;demais;Cooperativa;3
701560001MS;15470156;0001;03;2008-07-01;1981-06-01;4110700;79117008;MS;9051;Incorporação de empreendimentos imobiliários;2143;3000.0;demais;Cooperativa;2
293690001RS;90729369;0001;22;2005-11-01;1966-09-01;6424703;98700000;RS;8705;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;3
920470001MG;71392047;0001;96;2001-07-01;1993-09-01;6424703;38500000;MG;4861;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;2
187840001MG;71418784;0001;10;2005-11-01;1993-12-01;6424703;37010590;MG;5413;Cooperativas de crédito mútuo;2143;35000.0;demais;Cooperativa;2
150550001GO;33615055;0001;65;2005-11-01;1990-07-01;6424703;75124820;GO;9221;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;2
649220001SP;53864922;0001;03;2005-11-01;1984-09-01;9430800;09540280;SP;7077;Atividades de associações de defesa de direitos sociais;2143;0.0;demais;Cooperativa;2
031640001RS;91303164;0001;43;2005-11-01;1966-09-01;4622200;99150000;RS;8737;Comércio atacadista de soja;2143;0.0;demais;Cooperativa;3
756710001BA;16175671;0001;23;2005-11-01;1987-08-01;9430800;44900000;BA;3593;Atividades de associações de defesa de direitos sociais;2143;0.0;demais;Cooperativa;2
488820001BA;34148882;0001;59;2005-09-01;1989-09-01;6424702;41820770;BA;3849;Cooperativas centrais de crédito;2143;0.0;demais;Cooperativa;2
279670001BA;16327967;0001;12;2005-11-01;1988-04-01;4692300;44940000;BA;3451;Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários;2143;622.0;demais;Cooperativa;2
445770016RS;98244577;0016;20;;2005-10-01;4631100;98930000;RS;8945;Comércio atacadista de leite e laticínios;2143;0.0;demais;Cooperativa;3
602090001PA;34660209;0001;01;2007-02-01;1989-02-01;0724301;68523000;PA;0581;Extração de minério de metais preciosos;2143;0.0;demais;Cooperativa;2
728430004PR;77472843;0004;68;2005-04-01;2005-04-01;0161099;84400000;PR;7791;Atividades de apoio à agricultura não especificadas anteriormente;2143;1974627.75;demais;Cooperativa;2
060390008PR;81206039;0008;38;2004-09-01;2004-09-01;6424703;87970000;PR;7725;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;3
060390010PR;81206039;0010;52;2004-09-01;2004-09-01;6424703;87820000;PR;7507;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;2
619660001MG;86561966;0001;13;2005-09-01;1994-08-01;8299799;35010001;MG;4553;Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente;2143;0.0;demais;Cooperativa;2
776010001PA;15277601;0001;13;2019-03-01;1986-12-01;9430800;68590000;PA;0475;Atividades de associações de defesa de direitos sociais;2143;0.0;demais;Cooperativa;2
445770013RS;98244577;0013;87;;2005-10-01;4622200;98323000;RS;1172;Comércio atacadista de soja;2143;0.0;demais;Cooperativa;3
810250007SP;18581025;0007;87;2005-12-01;2005-12-01;4930202;14783226;SP;6209;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional;2143;0.0;demais;Cooperativa;3
883990006RS;91288399;0006;18;2006-01-01;2006-01-01;4622200;98338000;RS;5985;Comércio atacadista de soja;2143;0.0;demais;Cooperativa;3
865440002MG;25686544;0002;60;2006-01-01;2006-01-01;8690999;36500008;MG;5397;Outras atividades de atenção à saúde humana não especificadas anteriormente;2143;600000.0;demais;Cooperativa;2
226900004MT;33022690;0004;81;2006-02-01;2006-02-01;6424704;78290000;MT;9881;Cooperativas de crédito rural;2143;0.0;demais;Cooperativa;2
485140001MG;24048514;0001;85;2005-11-01;1988-09-01;9499500;32669172;MG;4133;Atividades associativas não especificadas anteriormente;2143;0.0;demais;Cooperativa;2
132110002RS;95213211;0002;08;2005-11-01;2005-11-01;6424703;95600030;RS;8927;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;3
210640004MT;33021064;0004;70;2006-06-01;2006-06-01;6424703;78675000;MT;9741;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;2
294200004MT;26529420;0004;04;2006-03-01;2006-03-01;6424703;78470000;MT;9153;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;2
869820011RS;91586982;0011;72;2004-07-01;2004-07-01;6424703;95773000;RS;6045;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;3
869820016RS;91586982;0016;87;2004-07-01;2004-07-01;6424703;93600010;RS;8649;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;2
052350068SC;83305235;0068;26;2005-09-01;1985-08-01;4683400;89982000;SC;0942;Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo;2143;0.0;demais;Cooperativa;3
052350028SC;83305235;0028;39;2005-09-01;1978-04-01;4683400;89883000;SC;8009;Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo;2143;0.0;demais;Cooperativa;2
531680002MG;66453168;0002;41;2002-12-01;1996-08-01;8610102;37950000;MG;5293;Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências;2143;0.0;demais;Cooperativa;2
695600002SP;59869560;0002;00;2000-04-01;1996-06-01;6424703;17890000;SP;6621;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;2
373400019PE;58137340;0019;78;2003-03-01;1975-11-01;5211701;50010908;PE;2531;Armazéns gerais - emissão de warrant;2143;0.0;demais;Cooperativa;2
075710001RO;84607571;0001;89;2005-11-01;1993-07-01;0722701;76842000;RO;0003;Extração de minério de estanho;2143;0.0;demais;Cooperativa;2
124860003RS;88612486;0003;21;2005-11-01;2005-11-01;1112700;97573970;RS;8845;Fabricação de vinho;2143;2000.0;demais;Cooperativa;2
573820001RS;90957382;0001;39;2005-11-01;1971-05-01;4623102;96300000;RS;8721;Comércio atacadista de couros, lãs, peles e outros subprodutos não-comestíveis de origem animal;2143;0.0;demais;Cooperativa;2
249450001RS;92824945;0001;46;2020-12-01;1967-06-01;9430800;90110020;RS;8801;Atividades de associações de defesa de direitos sociais;2143;0.0;demais;Cooperativa;2
318770011RS;96031877;0011;90;2005-11-01;1981-08-01;8888888;97573610;RS;8845;Atividade Econônica não informada;2143;0.0;demais;Cooperativa;2
204510046RS;97320451;0046;40;2005-11-01;1999-04-01;1062700;99670000;RS;8825;Moagem de trigo e fabricação de derivados;2143;0.0;demais;Cooperativa;2
367910064SP;45236791;0064;75;2004-06-01;2004-06-01;4683400;13990000;SP;6865;Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo;2143;0.0;demais;Cooperativa;2
895480001RS;92589548;0001;37;2005-11-01;1989-03-01;0161099;98380000;RS;8905;Atividades de apoio à agricultura não especificadas anteriormente;2143;0.0;demais;Cooperativa;3
153390005BA;13715339;0005;40;2005-11-01;1986-11-01;1064300;44915000;BA;3989;Fabricação de farinha de milho e derivados, exceto óleos de milho;2143;30000.0;nao informado;Cooperativa;2
207590003MG;23220759;0003;47;2003-12-01;1995-11-01;4731800;35774000;MG;4947;Comércio varejista de combustíveis para veículos automotores;2143;0.0;demais;Cooperativa;2
367440239PR;61536744;0239;18;2005-11-01;1969-07-01;7490101;86360000;PR;7445;Serviços de tradução, interpretação e similares;2143;0.0;demais;Cooperativa;2
367440435RJ;61536744;0435;10;2005-11-01;1979-08-01;7490101;21530000;RJ;6001;Serviços de tradução, interpretação e similares;2143;0.0;demais;Cooperativa;3
144500092PR;79114450;0092;00;2005-11-01;1992-08-01;4692300;87200001;PR;7505;Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários;2143;167934000.0;demais;Cooperativa;3
605410015RS;91060541;0015;66;2005-11-01;2003-02-01;0161099;95308000;RS;1132;Atividades de apoio à agricultura não especificadas anteriormente;2143;0.0;demais;Cooperativa;2
322460001SP;45232246;0001;27;2005-11-01;1971-12-01;6550200;14015080;SP;6969;Planos de saúde;2143;0.0;demais;Cooperativa;2
101760006MG;18810176;0006;89;2005-11-01;1982-09-01;4789099;35600000;MG;4147;Comércio varejista de outros produtos não especificados anteriormente;2143;0.0;demais;Cooperativa;2
533260002MG;41853326;0002;20;2006-05-01;2006-05-01;4789099;37485000;MG;4717;Comércio varejista de outros produtos não especificados anteriormente;2143;0.0;demais;Cooperativa;2
900420001AM;34590042;0001;41;2020-03-01;1990-08-01;8888888;69043540;AM;0255;Atividade Econônica não informada;2143;0.0;demais;Cooperativa;2
419890001AP;34941989;0001;50;2005-11-01;1992-06-01;4923001;68905550;AP;0605;Serviço de táxi;2143;0.0;demais;Cooperativa;2
972100001AL;12497210;0001;16;2005-11-01;1988-09-01;7490103;57600050;AL;2825;Serviços de agronomia e de consultoria às atividades agrícolas e pecuárias;2143;0.0;demais;Cooperativa;2
076890001SP;65707689;0001;34;2005-09-01;1992-04-01;8513900;15090390;SP;7097;Ensino fundamental;2143;0.0;demais;Cooperativa;2
040610001SP;69304061;0001;49;2005-11-01;1993-01-01;4923002;09190000;SP;7057;Serviço de transporte de passageiros - locação de automóveis com motorista;2143;0.0;demais;Cooperativa;2
729020001RJ;32072902;0001;20;2005-11-01;1988-06-01;4921301;23860000;RJ;5851;Transporte rodoviário coletivo de passageiros, com itinerário fixo, municipal;2143;0.0;demais;Cooperativa;3
622980013MG;24662298;0013;05;2001-09-01;2001-09-01;4623199;37490000;MG;5239;Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente;2143;0.0;demais;Cooperativa;2
283660001SP;48628366;0001;36;2001-08-01;1977-01-01;6550200;13465240;SP;6131;Planos de saúde;2143;0.0;demais;Cooperativa;2
155840001PR;95415584;0001;72;2005-11-01;1993-01-01;8513900;80610000;PR;7535;Ensino fundamental;2143;0.0;demais;Cooperativa;2
092920001SP;96609292;0001;33;2001-12-01;1993-04-01;9412099;13500312;SP;6979;Outras atividades associativas profissionais;2143;0.0;demais;Cooperativa;2
995150001RJ;36499515;0001;25;2005-11-01;1991-04-01;8513900;27580000;RJ;6003;Ensino fundamental;2143;0.0;demais;Cooperativa;2
046560014PR;77804656;0014;06;2005-11-01;1984-01-01;0111301;85630000;PR;7545;Cultivo de arroz;2143;0.0;demais;Cooperativa;2
226080001PI;41522608;0001;63;2005-11-01;1993-05-01;1099699;64290000;PI;1007;Fabricação de outros produtos alimentícios não especificados anteriormente;2143;1000.0;demais;Cooperativa;2
922780001SC;81292278;0001;81;2005-10-01;1989-03-01;6424703;89990000;SC;8333;Cooperativas de crédito mútuo;2143;41000.0;demais;Cooperativa;2
785450001SP;65078545;0001;66;2008-10-01;1991-01-01;6493000;07152834;SP;6477;Administração de consórcios para aquisição de bens e direitos;2143;0.0;demais;Cooperativa;2
174190001SP;66017419;0001;64;2004-08-01;1991-06-01;9499500;05001000;SP;7107;Atividades associativas não especificadas anteriormente;2143;0.0;demais;Cooperativa;2
205730001RJ;30920573;0001;02;2005-09-01;1980-07-01;4930201;27251163;RJ;5925;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.;2143;0.0;demais;Cooperativa;2
688730001RJ;31268873;0001;03;2005-11-01;1982-01-01;4761001;20031007;RJ;6001;Comércio varejista de livros;2143;0.0;demais;Cooperativa;2
151130001SP;69015113;0001;67;2005-11-01;1992-10-01;6550200;13465090;SP;6131;Planos de saúde;2143;0.0;demais;Cooperativa;2
464690001RS;89546469;0001;34;2005-11-01;1978-11-01;4120400;90010000;RS;8801;Construção de edifícios;2143;0.0;demais;Cooperativa;2
905010001RS;89990501;0001;76;2004-07-01;1984-05-01;6424703;95305000;RS;8699;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;3
356540001SP;53535654;0001;86;2005-11-01;1984-06-01;6550200;15600001;SP;6411;Planos de saúde;2143;0.0;demais;Cooperativa;2
351920001RJ;33735192;0001;33;2005-11-01;1967-10-01;6424703;20030020;RJ;6001;Cooperativas de crédito mútuo;2143;0.0;demais;Cooperativa;2
991550001SP;71999155;0001;21;2001-02-01;1993-09-01;4120400;04571000;SP;7107;Construção de edifícios;2143;0.0;demais;Cooperativa;2
325610002PE;10132561;0002;89;2005-09-01;1991-10-01;2330301;55420000;PE;2373;Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda;2143;0.0;demais;Cooperativa;2
953580004CE;10395358;0004;67;2005-11-01;2001-07-01;8630502;62930000;CE;1453;Atividade médica ambulatorial com recursos para realização de exames complementares;2143;0.0;demais;Cooperativa;2
605370006AL;12160537;0006;02;2006-12-01;1982-11-01;4774100;57325000;AL;2739;Comércio varejista de artigos de óptica;2143;0.0;demais;Cooperativa;2
506500002AL;12250650;0002;55;2005-11-01;1977-08-01;1061901;57280000;AL;2763;Beneficiamento de arroz;2143;0.0;demais;Cooperativa;2
570630003BA;13957063;0003;44;2005-11-01;1992-05-01;4744001;48490000;BA;3575;Comércio varejista de ferragens e ferramentas;2143;42038.73;demais;Cooperativa;2
348960006BA;15934896;0006;68;2002-07-01;1981-09-01;4711301;44570535;BA;3873;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados;2143;0.0;demais;Cooperativa;2
900500005BA;16190050;0005;42;2004-10-01;1977-10-01;4713004;45000455;BA;3965;Lojas de departamentos ou magazines, exceto lojas francas (Duty free);2143;0.0;demais;Cooperativa;2
341170003MG;17034117;0003;50;2019-02-01;1989-07-01;4771704;38900000;MG;4101;Comércio varejista de medicamentos veterinários;2143;0.0;demais;Cooperativa;2
503660044MG;17250366;0044;51;2005-11-01;1967-05-01;4711302;35570000;MG;4521;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados;2143;0.0;demais;Cooperativa;2
802540003MG;18780254;0003;05;2004-05-01;1974-07-01;4781400;37170000;MG;4141;Comércio varejista de artigos do vestuário e acessórios;2143;0.0;demais;Cooperativa;3
557800015MG;20355780;0015;03;2019-01-01;1988-01-01;1051100;35490000;MG;4477;Preparação do leite;2143;0.0;demais;Cooperativa;2
705660016MG;20770566;0016;96;2005-11-01;1985-02-01;4683400;37150000;MG;4287;Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo;2143;0.0;demais;Cooperativa;2
250690006MG;21025069;0006;54;2005-11-01;1990-11-01;4789099;36980000;MG;4753;Comércio varejista de outros produtos não especificados anteriormente;2143;4600498.96;demais;Cooperativa;2
833590011MG;21483359;0011;09;2005-11-01;1990-10-01;1012101;35661470;MG;4941;Abate de aves;2143;0.0;demais;Cooperativa;2
700640011MG;22070064;0011;73;2003-10-01;1987-01-01;4771704;37200000;MG;4763;Comércio varejista de medicamentos veterinários;2143;0.0;demais;Cooperativa;2
496030008MG;22149603;0008;69;2005-04-01;1982-05-01;4721103;36700000;MG;4767;Comércio varejista de laticínios e frios;2143;0.0;demais;Cooperativa;2
